# Q_bell vs p_noise for Star+T, N=6, mode=dm
# Optimizer: SPSA+Adam, max_iter=300
# Generated: 2026-01-31T18:56:51.619
#
# p_noise  dephasing  depolarizing  amplitude_damping
0.0000  +3.903353  +3.879662  +3.944222
0.0200  +3.848271  +3.470148  -10.178771
0.0400  +3.725212  -8.415187  +3.371067
0.0600  -7.599685  +2.285956  -6.759824
0.0800  -9.442503  -10.639279  -11.626760
0.1000  -0.499909  +1.450069  +2.565128
0.1200  +3.132917  -8.083908  -7.887840
0.1400  -5.931132  +0.342506  -10.295744
0.1600  -11.283468  -0.332869  -10.668226
0.1800  +2.888338  -9.224220  -7.825332
0.2000  +2.776245  -13.583478  -10.983146
0.2200  -10.670785  -12.168494  +0.900038
0.2400  -7.988860  -12.670451  +0.484038
0.2600  +2.461577  -10.374578  -8.928483
0.2800  +2.313206  -10.320249  -15.659111
0.3000  +2.080608  -9.523022  -12.303194
0.3200  +2.037183  -14.835804  -15.418449
0.3400  -7.723895  -18.650317  -14.549576
0.3600  +1.695281  -29.723361  -10.475054
0.3800  -7.960478  -20.682937  -16.083318
0.4000  -10.220929  -15.255799  -11.050863
0.4200  -12.713776  -19.238054  -8.968604
0.4400  -12.554423  -15.358218  -10.202393
0.4600  -8.954868  -19.749901  -11.649010
0.4800  -8.472599  -25.963071  -11.191594
0.5000  -9.823211  -26.191262  -12.521666
