state,k,neg_schmidt,neg_pt,diff,time_schmidt_ms,time_pt_s
GHZ (N=6),1,0.4999999999999998,0.4999999999999998,0.0,0.10704994201660156,0.00028705596923828125
GHZ (N=6),2,0.4999999999999998,0.4999999999999998,0.0,0.029802322387695312,0.0001862049102783203
GHZ (N=6),3,0.4999999999999998,0.4999999999999998,0.0,0.0059604644775390625,0.0001380443572998047
GHZ (N=6),4,0.4999999999999998,0.4999999999999998,0.0,0.007867813110351562,0.0001399517059326172
GHZ (N=6),5,0.4999999999999998,0.4999999999999998,0.0,0.0040531158447265625,0.00013709068298339844
W (N=6),1,0.37267799624996534,0.37267799624996534,0.0,0.05602836608886719,0.0002789497375488281
W (N=6),2,0.4714045207910319,0.471404520791032,1.1102230246251565e-16,0.008106231689453125,0.00014090538024902344
W (N=6),3,0.5000000000000004,0.5000000000000004,0.0,0.007867813110351562,0.0001850128173828125
W (N=6),4,0.4714045207910319,0.4714045207910319,0.0,0.007152557373046875,0.0001399517059326172
W (N=6),5,0.37267799624996534,0.37267799624996534,0.0,0.0040531158447265625,0.00014495849609375
Dicke k=N/2 (N=6),1,0.4999999999999998,0.5000000000000007,8.881784197001252e-16,0.03314018249511719,0.00024390220642089844
Dicke k=N/2 (N=6),2,0.8928203230275507,0.8928203230275518,1.1102230246251565e-15,0.008106231689453125,0.0002028942108154297
Dicke k=N/2 (N=6),3,1.1000000000000003,1.1000000000000005,2.220446049250313e-16,0.014066696166992188,0.00020599365234375
Dicke k=N/2 (N=6),4,0.8928203230275511,0.8928203230275522,1.1102230246251565e-15,0.008821487426757812,0.000225067138671875
Dicke k=N/2 (N=6),5,0.4999999999999998,0.5000000000000016,1.7763568394002505e-15,0.0069141387939453125,0.00027823448181152344
Random (N=6),1,0.4880989424785235,0.4880989424785259,2.4424906541753444e-15,0.01811981201171875,0.0002720355987548828
Random (N=6),2,1.4093034967434837,1.4093034967434854,1.7763568394002505e-15,0.010013580322265625,0.00026798248291015625
Random (N=6),3,2.324179909056192,2.3241799090561917,4.440892098500626e-16,0.013828277587890625,0.00027108192443847656
Random (N=6),4,1.322440846362085,1.3224408463620851,2.220446049250313e-16,0.009059906005859375,0.00025391578674316406
Random (N=6),5,0.4830039076623148,0.48300390766231716,2.3314683517128287e-15,0.0059604644775390625,0.0002849102020263672
GHZ (N=8),1,0.4999999999999998,0.4999999999999998,0.0,0.01811981201171875,0.005663871765136719
GHZ (N=8),2,0.4999999999999998,0.4999999999999998,0.0,0.014066696166992188,0.0060520172119140625
GHZ (N=8),3,0.4999999999999998,0.4999999999999998,0.0,0.015020370483398438,0.00652313232421875
GHZ (N=8),4,0.4999999999999998,0.4999999999999998,0.0,0.015020370483398438,0.006124019622802734
GHZ (N=8),5,0.4999999999999998,0.4999999999999998,0.0,0.012159347534179688,0.006361961364746094
GHZ (N=8),6,0.4999999999999998,0.4999999999999998,0.0,0.009059906005859375,0.006477832794189453
GHZ (N=8),7,0.4999999999999998,0.4999999999999998,0.0,0.010013580322265625,0.006331920623779297
W (N=8),1,0.3307189138830736,0.3307189138830736,0.0,0.016927719116210938,0.006762027740478516
W (N=8),2,0.4330127018922193,0.4330127018922192,1.1102230246251565e-16,0.015974044799804688,0.006276845932006836
W (N=8),3,0.4841229182759269,0.484122918275927,1.1102230246251565e-16,0.016927719116210938,0.006555080413818359
W (N=8),4,0.4999999999999998,0.5,2.220446049250313e-16,0.0209808349609375,0.023988008499145508
W (N=8),5,0.4841229182759269,0.484122918275927,1.1102230246251565e-16,0.029087066650390625,0.005725860595703125
W (N=8),6,0.4330127018922193,0.43301270189222085,1.5543122344752192e-15,0.0209808349609375,0.006593942642211914
W (N=8),7,0.3307189138830736,0.3307189138830736,0.0,0.012874603271484375,0.0067141056060791016
Dicke k=N/2 (N=8),1,0.4999999999999998,0.5000000000000051,5.329070518200751e-15,0.0171661376953125,0.006951808929443359
Dicke k=N/2 (N=8),2,0.9141399265094794,0.9141399265094834,3.9968028886505635e-15,0.02002716064453125,0.006536006927490234
Dicke k=N/2 (N=8),3,1.1998542122237659,1.199854212223771,5.10702591327572e-15,0.025987625122070312,0.0070269107818603516
Dicke k=N/2 (N=8),4,1.3285714285714285,1.328571428571431,2.4424906541753444e-15,0.02288818359375,0.007315158843994141
Dicke k=N/2 (N=8),5,1.1998542122237645,1.199854212223767,2.4424906541753444e-15,0.026941299438476562,0.007801055908203125
Dicke k=N/2 (N=8),6,0.9141399265094794,0.9141399265094845,5.10702591327572e-15,0.031948089599609375,0.007423877716064453
Dicke k=N/2 (N=8),7,0.4999999999999998,0.5000000000000024,2.6645352591003757e-15,0.019073486328125,0.011561870574951172
Random (N=8),1,0.49749423709793716,0.4974942370979424,5.218048215738236e-15,0.026941299438476562,0.006902933120727539
Random (N=8),2,1.4815696300721735,1.4815696300721775,3.9968028886505635e-15,0.030040740966796875,0.006465911865234375
Random (N=8),3,3.2510250565856555,3.2510250565856573,1.7763568394002505e-15,0.03600120544433594,0.0066301822662353516
Random (N=8),4,5.290133758857863,5.290133758857862,8.881784197001252e-16,0.0629425048828125,0.007441043853759766
Random (N=8),5,3.309037416636466,3.3090374166364693,3.552713678800501e-15,0.04410743713378906,0.006751060485839844
Random (N=8),6,1.482056602886842,1.482056602886846,3.9968028886505635e-15,0.031948089599609375,0.006968021392822266
Random (N=8),7,0.4975295445634138,0.497529544563419,5.218048215738236e-15,0.030994415283203125,0.0073089599609375
GHZ (N=10),1,0.4999999999999998,0.4999999999999998,0.0,0.033855438232421875,0.13180303573608398
